 &SRS
<MetaDataAtStart>
Column Headers=Frequency in GHz
noise=True
multiple=True
features=7
mode=assessment
diff=True
issid=py13jej
</MetaDataAtStart>
&END
Magnetic Field (A/M)	5.25	5.50	5.75	6.00	6.25	6.50	6.75	7.00	7.25	7.50	7.75	8.00	8.25	8.50	8.75	9.00	9.25	9.50	9.75	10.00	10.25	10.50	10.75	11.00	11.25	11.50	11.75	12.00	12.25	12.50	12.75	13.00	13.25	13.50	13.75	14.00	14.25	14.50	14.75	15.00	15.25	15.50	15.75	16.00	16.25	16.50	16.75	17.00	17.25	17.50	17.75	18.00	18.25	18.50	18.75	19.00	19.25	19.50	19.75	20.00	20.25	20.50	20.75	21.00	21.25	21.50	21.75	22.00	22.25	22.50	22.75	23.00	23.25	23.50	23.75	24.00	24.25	24.50	24.75	25.00	25.25	25.50	25.75	26.00	26.25	26.50	26.75	27.00	27.25	27.50	27.75	28.00	28.25	28.50	28.75	29.00	29.25	29.50	29.75	30.00	30.25	30.50	30.75	31.00	31.25	31.50	31.75	32.00	32.25	32.50	32.75	33.00	33.25	33.50	33.75	34.00	34.25	34.50	34.75	35.00
0.0	0.0019306909934628089	0.0012518380985680633	0.00084729867583020085	0.00060222057625189363	0.00040963475545928348	0.00030376197184885426	0.00023070952487053902	0.00017119983750096384	0.00011669529257956583	9.425944379875261e-05	8.6218458219010729e-05	6.4096647222837788e-05	5.3745884531842067e-05	5.1782826491564539e-05	5.2272295375955401e-05	4.6185869677596606e-05	1.127179488720062e-05	2.3911362737497505e-05	2.0290313124156185e-05	1.5929570913102918e-05	7.8301895447201612e-06	1.1315466553362185e-05	1.8905030710992993e-05	2.5597323937347221e-05	2.0796156458708069e-06	1.2778664507174582e-05	-2.8320117217918968e-06	2.9369585275671206e-05	1.2891435121073154e-05	8.0315424073029967e-06	1.1006725704208247e-05	-1.1063150945129931e-05	2.8954324911207976e-06	-3.1026906514538149e-07	2.0090066120210533e-05	2.0451876412670062e-05	1.867618733422348e-05	-8.237459759753278e-06	2.1321867012497248e-06	4.6168203756496619e-06	1.8096478904931097e-05	-1.4360929271957589e-05	-1.1030466281828647e-05	-1.1936486685509748e-05	3.5625453698469723e-06	-7.9484630397882722e-06	2.5168004786815072e-05	2.0473986669447341e-06	-1.7872837568672372e-06	7.0780034497207547e-06	8.9407930045564071e-06	1.2101274752984324e-05	-6.4836470725736884e-06	-1.9429514728653214e-05	-1.345830708817445e-05	-1.3342301306592518e-06	-1.8200220347908026e-05	-1.5449278471459632e-07	-2.7798133268342909e-06	2.39094805853722e-06	-1.9860498028310943e-05	2.8113041773615275e-06	8.4538311537706425e-06	5.7370394009909803e-06	8.4164112614945507e-07	2.9167876593255097e-06	1.264513207948837e-05	-1.0796476924417696e-05	-4.9314123913703038e-06	-5.2385288787419041e-06	1.3927445038403123e-05	5.0136381920597948e-06	4.9106009685651499e-06	1.3933315136891582e-05	2.5422061506247809e-06	-5.3647782793859272e-06	-4.7137879447512581e-06	-2.9949363745760247e-06	-4.3765394626866696e-07	3.7202337223728666e-06	1.5011353426341349e-05	4.1793236986698169e-06	-1.3575691165221904e-06	-2.6619431323561643e-06	7.0486477256957291e-06	-4.0737893823735954e-06	6.7951750527080004e-06	1.7502556776203214e-06	-5.7350643652018214e-06	1.1710939492775809e-07	1.2642875766135462e-05	8.611597546750217e-08	1.5425102613672797e-05	3.8492749966372746e-06	-2.3043418811392992e-05	-9.3434522774239213e-07	2.0142057710318005e-05	2.125433098469678e-05	2.089863460459964e-06	-1.2573124405313033e-05	1.4968844028347738e-05	-6.5742109523201281e-06	-9.4538319085493967e-06	1.1619382364186778e-05	7.2598684056859868e-06	-2.2559428941529304e-05	1.06372597892298e-05	-1.0100277673483725e-06	1.5044587328701831e-05	-1.9944948604922417e-05	-7.9644220706211294e-06	-3.0537106456084573e-06	-7.7152065097437297e-06	2.2143544641473248e-06	-8.1686650323463446e-06	2.1288915050461645e-05	-5.1422591050331928e-06	4.766580164942346e-06	1.9686779153513331e-06	3.468605033955183e-06
1591.5494309189535	0.0026474718183151055	0.001707340299771754	0.001107908750137408	0.00075264766692538466	0.00051345110987624282	0.00037696381627086331	0.00026594314991439165	0.00020442928458520306	0.0001516963492016949	0.00010846322637851342	9.2566786325040638e-05	8.353398760133131e-05	5.0556019040038177e-05	3.6635690581249673e-05	4.554782959278473e-05	5.348682876935136e-05	3.8318763203980125e-05	1.0604516736348283e-05	2.4051943282741807e-05	6.5691716662682478e-06	3.6457663471385789e-05	4.7912273005005451e-06	-3.9817654949758956e-06	1.0163395275684585e-05	2.4411135971027908e-05	-1.5563075381472677e-05	-1.1746723651013723e-05	2.0223545709001068e-06	-1.6056904616531541e-05	5.1641324030627678e-06	4.5253141261643721e-06	-1.224233084855171e-05	7.065277487337159e-06	1.3642513881138049e-07	1.017338012830942e-05	5.1939665489762766e-06	3.4108938940272252e-06	4.1889096837282267e-06	-3.0396634557685274e-06	-4.4905163695042599e-06	7.490384344322913e-06	-2.7718694283766766e-06	8.6455792818976571e-06	-4.2417860376578844e-06	1.0571869011141376e-05	-3.3646338739060764e-05	-1.5608719065884466e-05	1.7641462603472474e-06	1.2266014299075098e-05	7.2702899680549188e-06	2.4060404177368364e-06	-8.9294444325158151e-07	2.6793146993646932e-05	-1.2463914897513291e-05	1.3564593687562001e-05	7.57407937878443e-06	-2.1235671530938257e-05	1.1814584541272895e-05	-3.1278974901778671e-07	-4.0127541006515918e-06	-1.392890543007198e-05	-2.2586455242453222e-05	1.4043639626551532e-05	1.4182212372373711e-05	1.4053070678509823e-06	-1.195130517539761e-06	-1.0497501087947455e-05	-1.5274771337562811e-05	6.5284820585306172e-06	-5.4115410944571428e-06	-1.0179205469349878e-05	8.1210778060631336e-07	1.7171657156539443e-06	-1.7360812154866038e-06	-1.9694083574247754e-05	-3.819333633602162e-06	2.5381427641498791e-05	-1.3225747070581827e-05	-1.4201152781499264e-05	-7.1615509587517252e-07	1.6749458279893894e-05	-5.9036484783703865e-07	-7.9601687439340684e-06	-6.4566524774031646e-06	9.5465433080257931e-08	3.0309432378088442e-05	4.0468470923616035e-06	-4.4931833417521551e-06	2.2481951975781141e-06	1.3139961590306043e-05	3.4165475905975596e-06	-1.3818676273089212e-06	-7.2011738868059062e-06	3.0735823780047353e-06	-8.9398480125329248e-06	-1.2122563114668783e-05	1.4450183658664879e-05	-1.1583700079172307e-05	-2.0564631326122383e-05	-6.5749231371673442e-07	3.8284154895650839e-06	3.8436126662374622e-06	1.0611433750882687e-05	-4.3543906803252643e-06	2.5178127991344807e-06	-6.1777203117125239e-06	6.1602422461238693e-06	1.9074893152982651e-06	-1.9057708628027518e-06	-1.0201962287649779e-05	-7.3693143070208178e-06	3.3167314798354183e-06	7.8326134636151564e-06	2.7224181839180901e-06	6.2881410374112596e-06	1.6836198895156834e-05	-2.1409509553157885e-05	-5.3978492885332846e-06	-3.414641109684139e-06	4.242433393058783e-06
3183.098861837907	0.0035588920641169103	0.0023202787313792738	0.0015041749551998073	0.00099402249994457099	0.00066788359625609851	0.00049566323399884724	0.00032911593813402104	0.00023861687122723137	0.00015944455734656065	0.00014133995973984967	0.00011119976223559668	8.4476567368688946e-05	6.9398821156104677e-05	4.7167744567168775e-05	5.1533266083713239e-05	4.7786122007065441e-05	4.6411776619346062e-05	1.8543647766061451e-05	3.7613142465908605e-05	1.355906117449515e-05	2.9993465369827908e-05	2.5333596695712015e-05	1.904340213044922e-05	8.7788337844363688e-06	3.640935316886652e-06	1.7367757745884703e-05	-9.9988631376772135e-06	6.266685168475914e-06	-7.5256923690750941e-06	-8.5680045902172715e-06	-4.3751717442155843e-07	9.228799616709008e-06	9.0738737804045385e-06	-5.8073800674763996e-06	-8.1384950720285204e-06	-7.9577655777023769e-06	-1.6066951629778701e-06	9.7456708858306546e-06	-4.4417421621240527e-06	9.411097939620476e-06	1.9763646436192781e-07	-1.9655966826117498e-05	2.1368526768755019e-05	6.1585002824909762e-06	7.4014314708503423e-06	-1.5455674340141534e-05	-4.8397930337225545e-07	9.6125137080817599e-06	-1.3039485842585975e-05	-2.9237302095321822e-06	-7.5786971474473968e-06	4.4730781646343578e-06	1.8208480873144522e-05	-9.9298036143963572e-06	-4.1514832170640579e-07	-1.13164096706909e-05	9.2270589783399086e-06	-1.099599383060555e-05	-1.8908786877213754e-05	-2.9697454719487874e-07	-1.5524550408925219e-06	-5.4701750779598076e-06	4.7364719201365748e-06	-1.3405548783724068e-07	1.3199971290443891e-05	4.1010706884015427e-06	-2.7668183464648684e-06	-2.186891441450375e-05	-1.4334912594911951e-05	1.3936682403256e-05	1.6198918295935583e-05	-1.4048683909364133e-06	1.0308002580743492e-05	-8.5719830421005618e-06	1.5128604923467209e-06	-2.7024129856530714e-06	-4.9059692575872978e-06	-6.0793414541118507e-07	-1.1429703155970167e-05	-3.0338057536247275e-06	-1.6408501156160119e-05	-7.1498267806220219e-06	-1.9529200676230114e-06	-2.6787909956524514e-06	5.3000818648151343e-06	-9.1857071560058641e-06	2.8467774791506005e-06	-4.1219850368452322e-06	-6.3999647641010673e-06	-2.0175699326049146e-07	-2.5465730010935671e-05	1.5443556664362149e-05	-6.3074547573814133e-06	8.3275440619954528e-07	-1.5889722987066052e-05	1.2506583483231061e-06	1.882357399168694e-05	-1.324768348357134e-05	2.5052592755541198e-05	-1.9791739232234637e-05	-1.2719361989562479e-05	1.9951518447947316e-05	6.679332720417355e-06	-6.3308768295553228e-06	-1.6237960610456555e-06	5.9167724405014213e-06	-8.8738249228797268e-06	-1.1887653700301121e-05	7.9468128791062795e-06	-3.1286189248597122e-06	7.2037474665532008e-06	1.1092070659864619e-05	1.6023326378465203e-06	-9.5670131894699986e-06	-6.4809541751151225e-06	2.6428681903728378e-06	9.3637737795840706e-06	5.3987658827585404e-06	-1.4881261498377546e-06	-1.0807975506761192e-05
4774.6482927568604	0.0044452439454732316	0.0031415855678686763	0.0020261343357679111	0.00130836471115256	0.00085266236455757165	0.00058117015888226032	0.00040039221956574884	0.00029571295949615885	0.00021956319450338056	0.00017181263286427664	0.00013324706243670589	8.3849168527066342e-05	8.8848742334267218e-05	6.0137521452945274e-05	5.3250267962878984e-05	4.6251510673319876e-05	3.168904820599091e-05	1.7105782534275066e-05	-1.5208913644500798e-05	2.0660424029947458e-05	2.2002277349812845e-05	1.7009314932388168e-05	-1.0997742433915553e-05	-1.4609856649855099e-06	-5.2687086463623203e-06	5.8460366095367942e-06	1.8506805001922261e-05	2.3897089884369409e-05	1.0226263226245188e-06	2.4659554683394873e-05	-2.5067021064880508e-05	7.8731859415276549e-06	-8.00131259564477e-06	2.4729759692360661e-05	-5.2155630918357366e-06	-8.6752508392148243e-06	1.4682879168139876e-05	-1.2756829674424742e-05	8.9036893469799257e-07	1.4684121836169409e-05	1.8161525922621121e-05	4.7649169290875258e-07	5.1558262901770037e-06	1.1048661920677314e-05	6.4040543574389712e-06	-1.6170957269863549e-05	-5.478304929863025e-06	-5.4243809319988099e-06	-3.2624080853664543e-06	-2.0622080532643556e-05	1.5538201919699424e-06	1.5751966194346095e-06	-6.4335781640533873e-06	-2.0642581301689821e-05	5.4313490266407912e-06	1.6637113257221788e-05	5.0806282024381411e-06	-1.1597434952457e-05	-5.5472416773381299e-06	-7.0193505563005407e-06	-2.8746315309528377e-06	3.1038748206715465e-06	-5.7205714824974265e-06	1.7171792978571006e-05	1.5078190889827237e-05	-1.098568477266944e-05	-3.5599968478502651e-06	-7.4013459768347617e-06	-1.0233021818178796e-05	-9.9134219514630779e-07	4.7839922068299756e-06	1.9865560586523759e-05	3.2632585879236861e-07	6.3551527035132077e-06	-1.9047138598035407e-06	1.2595243935201312e-06	-9.4847563067161739e-06	-5.2167275968835444e-06	-7.7734980417472781e-06	-9.5106672037524541e-06	7.1299506846508268e-06	4.6938442174792017e-06	6.3213196182471809e-06	-5.8561349962598943e-06	1.1433997404289853e-05	1.4175944333078274e-05	-1.8176996819417631e-05	-5.8479664992524809e-07	-4.3003285056366423e-06	1.1965707962925022e-05	-9.8593439054436328e-06	7.3564714130202273e-06	-5.6469386453563836e-06	7.3012774659999399e-06	4.8918148506249017e-06	5.35185939773981e-06	9.3269597118383914e-06	2.5964664581379517e-06	-1.0799269039356177e-05	-5.1446782708503493e-06	-2.7120623159382529e-06	1.36696469838633e-05	-8.5688841697172623e-06	-1.9824288156693699e-05	-4.4282977764843775e-06	1.0361985466026945e-05	-2.314815869868767e-07	-1.161473020247495e-05	8.0059897352973168e-06	-1.356352865697668e-05	-2.3869361064518775e-06	8.8708854104858076e-06	1.1812783966658497e-05	-1.4631683136468344e-05	-2.0441694419346373e-05	-1.6412929126879734e-05	1.5647240284688113e-05	1.3412854672109533e-05	8.4630499910862219e-06	8.3936309454354778e-06
6366.1977236758139	0.0045581637396212701	0.0040210513651510469	0.0027122904154873672	0.001740182923223798	0.0011238557453409641	0.00073995228958592956	0.00051068829287148143	0.00036527792784701521	0.00025153992072512316	0.00017752053321956637	0.00013789216444741247	0.00012170403868689014	7.1093621553453121e-05	6.4098680026758627e-05	5.111533523722184e-05	3.2774163919971504e-05	4.3237933077118967e-05	5.0529891081537439e-05	3.4111679607997929e-05	2.1593470579026041e-05	1.4099070766451794e-05	1.9273256344548981e-05	1.328000429783245e-06	1.5162611459915408e-05	8.9621857251674857e-06	1.4785776041788849e-05	1.0705762205341264e-05	4.4612580191502182e-06	-1.4774266100105449e-07	1.4939030448816073e-05	7.1106857908862835e-06	4.686856613629127e-06	1.4228009874036704e-05	1.3097291323781179e-05	4.3491021051927287e-06	8.7100573579370269e-06	-5.4439662155512929e-06	6.6607174527569711e-06	-1.4518212016709496e-06	1.8056747205944855e-06	6.4459146165110896e-06	1.5710695388349568e-05	-3.9170521696396147e-06	2.9107620039886548e-06	-1.1690820646096436e-06	-2.241594187904173e-06	5.1591662220085044e-06	-2.3838665560360315e-06	1.8575221814539549e-05	2.4709676140776506e-05	1.3661053216283918e-06	7.1376587917155264e-06	-1.2692086304984895e-05	1.3949561671070393e-05	2.3907750864744216e-06	9.1994239497590215e-07	3.4318971128760225e-06	7.5262466949746573e-06	-4.4758729168908815e-06	3.7149918845423054e-06	-1.0115329837799692e-05	-7.5231275930035756e-07	-1.2979996500492019e-05	-7.7931364050874e-06	-1.8590724184018914e-05	-6.335686682728959e-06	-1.5000244637568518e-05	-5.6957519965858805e-06	9.0642357218288309e-06	4.680533228939585e-06	1.0623501066472205e-05	-9.9490073654223377e-06	-5.9594620860628272e-06	-1.8181163411287485e-06	9.612000194054488e-06	2.9267797288211352e-06	8.8411227338026138e-06	1.932044146285242e-05	2.8414493154566688e-06	-5.7743920144633408e-06	5.7206281035406144e-07	1.1080562130112239e-05	6.0081763593508087e-06	4.1461926759146838e-06	-1.0311827493076921e-05	9.1181464099280738e-07	1.197171757799403e-05	1.411318465386015e-05	-3.6443824435828497e-07	-1.4988006333082683e-05	-2.1897648384084871e-06	2.4096929065435669e-05	-8.4031684907425939e-06	-1.273486581214737e-05	1.0340776210689717e-05	1.6499672423671251e-05	1.7559693263341406e-05	-1.2859387876883551e-06	7.3657352366209268e-07	-2.5345059948505743e-05	-1.5362795666418015e-06	2.5227168142658792e-06	9.2155579615914185e-06	3.46678322950868e-07	-3.3206009937212042e-06	-7.6244797356855981e-06	5.91474063655085e-06	2.239782390429267e-05	7.4325166603286287e-06	1.5086847009288703e-06	8.2724386922400389e-06	-2.3498290994902213e-06	-8.4739408578193423e-06	8.5100593214932673e-06	1.5166528248244352e-06	7.109020944472944e-06	1.7924206866730881e-05	6.5020622083608683e-06	-1.1471784609815687e-05	-4.3363340600327977e-06
7957.7471545947674	0.002740341891426606	0.0044546813313734819	0.003565552397813389	0.0023403997938034322	0.0014932895072595623	0.00095886243403729308	0.00065186721176493825	0.00044236187121970711	0.00031984777366664768	0.00021939133509015293	0.00015264264516911914	0.00011616583611886326	0.00011315343854357281	7.0829944307049462e-05	7.8969566872281018e-05	5.2064283684551505e-05	3.9541167844895134e-05	2.9300411952200312e-05	3.2991023655029598e-05	2.757254528974903e-05	2.085025933624194e-05	9.9765677862815878e-06	8.1805789397615512e-06	1.397043467116647e-05	1.4943184577209856e-05	-1.2616424505650899e-06	2.5795018637991601e-05	7.1083796273459641e-08	1.1379183389898662e-05	-1.1862888213278483e-06	-9.3518463556704915e-06	1.8597693790574489e-05	-5.430286849446208e-06	5.4902875737607943e-06	8.4273957095054944e-06	2.3418967455766845e-06	7.463158487219594e-06	1.6050937027653295e-05	-8.9942906021873036e-07	1.4931309159328114e-05	1.6169841520031474e-05	-5.3145984563919436e-06	-2.76543814125314e-05	1.2282166789112514e-05	1.3459343382153391e-05	-1.9875399474123164e-06	1.0245070437905762e-05	1.1837113965691172e-05	3.1761398116746322e-06	8.4958028674040453e-06	1.9401866394099018e-05	8.5938698733494268e-06	-7.4085473876409222e-06	-3.11477303909236e-06	-2.6231245093390058e-05	-5.5456917832709299e-06	1.3962379363227849e-05	-1.6562364703343925e-05	-5.500394084657517e-06	-3.9752690340133882e-06	6.6083026050144781e-07	1.8793049757142421e-05	3.1047156411933971e-06	-4.4853513443831587e-06	-1.4999499943564649e-05	-1.1028622101590157e-05	-1.9223503715586526e-06	-2.0816743405803759e-05	5.1911746046536911e-06	-2.4450719698903976e-06	6.2182201797811072e-06	4.8511998537442476e-06	1.2093732100894453e-05	-2.1615212754926309e-05	1.2378485291214336e-05	-2.2911853364331379e-05	-1.0336585678736539e-05	7.8972962218560322e-06	4.817739629670309e-06	-8.3974789209744803e-06	-1.1547239776559542e-05	-4.3584754524592523e-07	-1.1863945757333777e-05	2.0655792061629928e-07	7.3622503543481972e-07	4.2811942999171549e-06	-5.8966403941189897e-06	-1.4293370007057699e-06	-5.0165162329671132e-06	8.4831259392491076e-06	5.8983502074484409e-06	1.9371166636800963e-06	1.0706106281200875e-05	-2.0823411067762793e-05	1.7163303290826222e-05	-1.3241982979006495e-05	-8.3553552828140858e-06	-1.6001347591458876e-06	1.2926577703262611e-05	-1.2491802140677898e-06	5.8326426866217231e-07	-2.519002186383235e-05	5.8216011503346267e-06	-1.0094260542693271e-06	-1.128875783473287e-05	5.6621783007673435e-06	1.0750042816461109e-05	2.6714147705323852e-05	2.9083674231924493e-06	-1.4414686611168894e-05	1.2904730278787849e-05	-4.5626500956285623e-06	-2.7023729992186058e-06	7.4387211999111414e-06	6.9511202753980312e-06	-4.8023267817472578e-06	-8.02936074354862e-06	5.0020648078839846e-06	2.0508582708799344e-06	-2.726238818900257e-07
9549.2965855137209	-0.00087464319348440399	0.0034556803373481902	0.0041875111246974274	0.003064354550490284	0.001972468104615157	0.0012597799421107912	0.00081115365577840717	0.00056250339664397028	0.00037572167831044094	0.00026592937479881816	0.00019574615526656873	0.00015079806429929332	0.00011798549079840623	8.9687496710564373e-05	7.1012573784224104e-05	4.7158882036104797e-05	6.7887146942679577e-05	5.3542824071723644e-05	3.5405161926521525e-05	3.6657953205959014e-05	8.8178110179954612e-06	1.640530286260338e-05	3.3668012243397245e-05	4.5537454379297488e-09	3.9358484125472185e-05	4.0545861489737612e-07	1.6433461461548539e-05	1.4755731783729686e-05	2.5810539498074549e-05	1.0114003857870768e-07	5.9174819397901804e-06	-5.3854339913963922e-06	1.3872033022047951e-05	-3.9320394395298185e-07	2.5656425043466985e-05	2.5587636799256993e-05	-1.6043472814920834e-05	1.5245011974643799e-05	4.5037150575464562e-06	7.3495295417982371e-06	6.9105493513092349e-06	1.2866663835968859e-06	1.038811319807554e-05	-1.4826028915258268e-05	2.4096385845679161e-06	1.0676062062702666e-05	3.2122808035331434e-06	1.7652943241798256e-05	9.8312816846402547e-06	2.3580117903308476e-05	1.1080712845178933e-05	-5.1745240334919894e-06	3.08457343661539e-06	-1.2926471622978811e-05	2.9831254153107483e-06	1.0061672796204847e-05	-9.7379605990172512e-07	6.8922721359829024e-06	4.2945775358697697e-06	-4.4230571824791767e-06	-9.0573501855436706e-06	-1.3772042633015622e-05	2.943819617214307e-06	1.4965489682983132e-05	4.0331828282149183e-06	2.3121356085881808e-06	6.6895122419759979e-06	1.5209069277371276e-05	1.7740715691203244e-05	9.0308986561538098e-06	5.1222529193141891e-06	6.5526779337698287e-07	-3.3981547660366502e-06	-7.1336573838229121e-06	3.0889947986713706e-06	1.1266350057069051e-05	-1.2953790207746505e-05	-7.6295922433051221e-06	-5.2089049197550663e-06	-1.1078272679324508e-06	1.1536335529378041e-05	9.4550871509731753e-06	1.0111172863429414e-05	-1.9792690646277384e-05	-8.9012162393365073e-06	-7.038383946389372e-06	6.5922300473874502e-06	3.6458285103357623e-06	-6.6640411785710122e-06	-1.4266159402123698e-05	6.358317137037906e-06	-1.9112473255467901e-05	-3.7440453707244898e-06	1.4718018555970342e-05	-6.9265368793350491e-06	1.2650001068441074e-05	-5.002783139125563e-06	-4.7828406190736642e-06	-3.4951003902923451e-06	1.8684371744464087e-06	-4.5774791631000529e-06	1.5050592958318243e-05	-1.2638284124569185e-05	-2.4769066050028124e-05	-5.7627085689217621e-06	-1.3832941733076975e-05	7.5980855559261479e-06	-1.2325268672671232e-05	-1.5465108638460708e-06	-1.5140113333078053e-08	7.9995181382939541e-06	2.8295439316545879e-06	1.6242898820394287e-05	1.1199191893894056e-05	-7.5724613378665051e-06	1.0537807113671554e-05	-1.3732434413435769e-05	-1.6833355403256829e-05	-6.8564267893562991e-06	-3.6981357913458949e-06
11140.846016432675	-0.0038631908106457899	0.00050988809000369493	0.0038684463333732342	0.0037817104344371882	0.0026265965771393764	0.0016945814103512984	0.0010539572705819346	0.00068596647690606649	0.00046740226621447923	0.00032100174095095945	0.00023139061158423109	0.00017737760717824577	0.00012492597253579995	9.7818233077153841e-05	7.1835362957345974e-05	4.8010957245482353e-05	5.6702951024407859e-05	3.1174813561590305e-05	4.0039117324274137e-05	1.8846396615611317e-05	2.8440543232833464e-05	1.5365495313851914e-05	1.9406458354998501e-05	1.3454325951353158e-05	3.0893993547178947e-05	-1.7233590011172744e-06	-6.6713554689558089e-06	1.6695666968482575e-05	1.1893001379036553e-05	1.5248101214276784e-05	6.6593156138197768e-06	-1.0849050405991966e-05	-9.4469708689004131e-06	6.5200019333357583e-06	1.0093192931212975e-05	-4.9424413352200024e-06	1.2622367487021305e-05	-1.0527401828077783e-05	1.689779704947026e-06	-2.5169202515917595e-07	-4.9464036941121233e-06	1.2693742117018091e-05	-5.825001381384818e-06	2.2814743451721989e-06	2.3894820326935377e-06	-4.0756256984676954e-06	-1.5091191727472205e-07	9.0586281797996565e-06	-2.5549243470881467e-06	1.0707087090979986e-05	3.1264330861336781e-06	-5.181182043803868e-06	7.5348054014495634e-06	-3.0268241422241955e-07	1.4603021960636094e-05	1.9144812529254443e-06	1.0023452074226265e-05	4.0522317691722334e-06	1.5067556361980012e-05	9.5263075307117844e-06	2.0214058011013107e-05	1.4600204823641376e-05	-6.1221659201910185e-07	-1.0015877354187571e-05	7.0196213289140993e-07	-1.8784497189121258e-06	5.4387335154375804e-06	1.6663200991806307e-05	-6.7529592414419109e-06	8.9764765706882929e-06	-4.8891876255580804e-06	6.8026969106185544e-06	-6.6033935077028641e-06	-5.9912456914301379e-06	1.0924652665737252e-05	2.783980051516456e-06	-1.1464508622245437e-05	5.5998901872214259e-06	-3.8135128538835214e-06	-3.2426286892164553e-06	-1.9190671972182827e-05	-3.3820911504688692e-06	7.0391353252538814e-06	-8.985347726872588e-07	1.3904628903945905e-05	7.0114074673475177e-06	9.422107917674321e-06	4.6178940703715673e-06	1.088696336576389e-05	1.0607567698332232e-05	-3.4978435525852822e-06	1.0025291980526506e-05	-7.2863858073908347e-06	-9.6433843909155031e-07	1.3197198419409996e-05	-7.0070866644502117e-06	-2.6752045816012348e-06	1.0120549334130689e-05	2.5126387363560912e-06	1.7354210462039694e-06	6.310353380954488e-07	-1.5802255262975836e-07	1.9082082314114527e-06	-8.3800749994852932e-06	-1.0950642207081945e-05	-9.191593914301276e-06	-5.0543737215523622e-06	-5.8554638724810291e-07	5.337613510772791e-06	-6.6526468822411783e-06	-6.9958904085378186e-06	6.9331342097603752e-06	4.0228600221903123e-06	-3.7031438286181711e-07	7.4622983674164518e-07	-3.5445784975829901e-08	-6.5129889466622092e-06	-1.8452296984464018e-05	-3.621625882927542e-06	1.1682279474663182e-05
12732.395447351628	-0.0046713286159097561	-0.0027878638723598638	0.0018012888556673495	0.0039954749415369792	0.0033356849494361259	0.0022080600858019688	0.0013914047804094308	0.00088897666371399585	0.00058456893668156938	0.00040490593818883413	0.00027076662592471899	0.00020994203549188974	0.000165047943728067	0.00012685905169798758	8.4103184589576254e-05	8.5858212903680407e-05	4.8620755673407413e-05	4.2368743715866159e-05	2.5935690687248438e-05	3.0048059135419622e-05	2.7123265577079145e-05	2.6195430258547651e-05	2.7549534384790782e-06	1.9873985210292425e-05	2.6827344438083001e-05	2.8909248266434026e-06	2.9849013566698924e-06	7.5602531459186649e-06	8.3905416095566633e-06	9.7093148346571813e-06	1.2590998161372929e-05	4.6861652106858374e-06	-9.2666798852436519e-06	1.0493590897461743e-05	-4.0115664943166858e-08	1.941057105248943e-05	-8.2704249286974862e-06	4.1626184385407237e-06	4.5516813313544004e-06	9.7230166111670842e-06	6.5245461370436145e-06	-5.232819541569914e-06	-7.8366572462301363e-06	-1.3571991847572338e-05	8.7326476026092476e-06	1.1296661859678293e-05	6.0478861957555112e-06	-5.6045362124239031e-07	4.5993428722281001e-07	4.414346136734208e-06	8.5507052580458664e-06	9.4209997771718592e-06	2.4296517475962885e-06	-2.8232489759084681e-06	2.5165575890455881e-05	-4.6263672694092787e-07	3.8596408892191578e-06	-3.4277908003987273e-06	-2.0111657578531016e-06	1.2674134510906195e-05	-9.3281161240039126e-06	2.2390128859437888e-06	2.7094677135980528e-06	8.586803176393624e-06	8.8841390878732209e-06	-5.9164904060618658e-06	-6.746980987065134e-06	1.4994253508602886e-05	1.034580091976651e-05	-5.7880879361532486e-07	1.3908162060102166e-05	-2.9146341768058662e-06	-1.7881663962562808e-06	6.6455230747103089e-06	-9.1709583770402324e-06	-3.6437153881041392e-06	-9.8464794332120199e-06	6.8914576867388897e-06	3.4002225316524619e-07	-1.6712356663252899e-05	-4.1613201787059914e-06	-7.4389187378453987e-06	-1.4433740159403171e-05	-7.0393725615546259e-06	-6.5267668302496588e-06	4.8228708111146816e-06	1.5466331405343879e-05	-8.7091392378790822e-06	-7.9159492624339893e-07	1.1539873340194187e-06	1.5714427676486381e-05	2.192609418824734e-06	6.3434561652410084e-06	4.0343222325101178e-06	3.6680971793437769e-06	3.4856949478397353e-06	2.3922704385367259e-06	9.2438684949381178e-06	-5.3723392866173631e-06	4.2355277308630562e-06	-3.8327418817828426e-06	-1.7435343952287138e-05	8.8404377703272737e-06	5.3743643579142094e-06	-3.6177280943159765e-06	-1.5606484472153949e-05	-1.2257176288175692e-05	5.602748638976204e-06	5.5230661589421937e-06	1.8036216204051344e-06	-2.726427634597588e-06	8.5888791248468112e-06	-5.9517046488816572e-06	6.9395156535458451e-06	-8.2973660406961366e-06	-8.5848837537126067e-06	1.3943016191037545e-05	4.9534600731478653e-06	-2.4066883839420074e-05	-9.3614683558417946e-06
